date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-02,EVO_Conv_TPB DOP_Ecommerce,Image_0104,177,6778,399357,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Ecommerce,Image_0204,3,158,5744,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Ecommerce,Video_0103,28,1110,66588,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Insurance,Image_0103,7,829,29788,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Insurance,Image_0104,1,129,4173,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Insurance,Image_0204,0,6,3,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Insurance,Video_0103,15,537,27443,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Investment,Image_0103,10,500,14725,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Investment,Image_0104,2,189,9754,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Investment,Image_0204,0,2,19,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Investment,Video_0103,0,3,13,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,21,519,22677,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,19,578,21112,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,3,91,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Mortgage,Image_0103,34,1852,56766,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Mortgage,Image_0104,22,1418,44480,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Mortgage,Image_0204,0,57,166,EVO_Conv_TPB DOP_Esign
2023-06-02,EVO_Conv_TPB DOP_Mortgage,Video_0103,4,152,9611,EVO_Conv_TPB DOP_Esign
2023-06-03,Conv_Esign_Mas,Image_0103,972,54983,2134571,Conv_Esign
2023-06-03,Conv_Esign_Mas,Image_0104,930,67759,2519055,Conv_Esign
2023-06-03,Conv_Esign_Mas,Image_0204,13,1641,19619,Conv_Esign
2023-06-03,Conv_Esign_Mas,Video_0103,49,2093,115961,Conv_Esign
2023-06-03,Conv_Esign_Retargeting,Image_0103,12,432,27678,Conv_Esign
2023-06-03,Conv_Esign_Retargeting,Image_0104,43,1153,68375,Conv_Esign
2023-06-03,Conv_Esign_Retargeting,Video_0103,0,2,389,Conv_Esign
2023-06-03,EVO_Conv_TPB DOP_Bank,Image_0103,304,12702,608214,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Bank,Image_0104,203,13200,509666,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Bank,Image_0204,8,1696,18477,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Bank,Video_0103,29,1471,66334,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,3,287,4884,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,3,364,5194,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,1,113,722,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,2,144,2780,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Ecommerce,Image_0103,130,6171,279860,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Ecommerce,Image_0104,102,3185,176813,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Ecommerce,Image_0204,4,260,5330,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Ecommerce,Video_0103,17,637,24686,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Insurance,Image_0103,12,917,20835,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Insurance,Image_0104,2,94,3650,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Insurance,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Insurance,Video_0103,16,682,23973,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Investment,Image_0103,6,598,12635,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Investment,Image_0104,4,230,9365,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Investment,Image_0204,0,3,37,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Investment,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,23,786,35006,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,18,702,21116,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Mortgage,Image_0103,27,1314,37083,EVO_Conv_TPB DOP_Esign
2023-06-03,EVO_Conv_TPB DOP_Mortgage,Image_0104,16,1428,51145,EVO_Conv_TPB DOP_Esign
